
-------------------------------------------------------
| otype | old_label            | new_label
| s?b   | Candidate_BSG*       | BSG*_Candidate
| s?y   | Candidate_YSG*       | YSG*_Candidate
| s?r   | Candidate_RSG*       | RSG*_Candidate
| sg?   | Candidate_SG*        | SG*_Candidate
| RB?   | Candidate_RGB*       | RGB*_Candidate
| Ce?   | Candidate_Cepheid    | Cepheid_Candidate
| RR?   | Candidate_RRLyr      | RRLyr_Candidate
| HB?   | Candidate_HB*        | HB*_Candidate
| Ae?   | Candidate_Ae*        | Ae*_Candidate
| Be?   | Candidate_Be*        | Be*_Candidate
| WR?   | Candidate_WR*        | WR*_Candidate
| OH?   | Candidate_OH         | OH_Candidate
| S*?   | Candidate_S*         | S*_Candidate
| C*?   | Candidate_C*         | C*_Candidate
| TT?   | Candidate_TTau*      | TTau*_Candidate
| Y*?   | Candidate_YSO        | YSO_Candidate
| HX?   | Candidate_HMXB       | HMXB_Candidate
| LX?   | Candidate_LMXB       | LMXB_Candidate
| XB?   | Candidate_XB*        | XB*_Candidate
| No?   | Candidate_Nova       | Nova_Candidate
| CV?   | Candidate_CV*        | CV*_Candidate
| Sy?   | Candidate_Symb*      | Symb*_Candidate
| EB?   | Candidate_EB*        | EB*_Candidate
| **?   | Candidate_**         | **_Candidate
| Gr?   | Possible_GrG         | GrG_Candidate
| C?G   | Possible_ClG         | ClG_Candidate
| SC?   | Possible_SClG        | SClG_Candidate
| PN?   | PN?                  | PN_Candidate
| RC?   | RCrB_Candidate       | RCrB_Candidate
| LI?   | Possible_lensImage   | lensImage_Candidate
| Le?   | Candidate_Lens       | Lens_Candidate
| LS?   | Candidate_LensSystem | LensSystem_Candidate
| UX?   | ULX?                 | ULX_Candidate
| Pl?   | Planet?              | Planet_Candidate
| AG?   | AGN_Candidate        | AGN_Candidate
Number of rows: 199

